WBIC,waterbody,landingName,landingType,rampType,closestIntersection,adaAccess,launchLanes,launchFee,launchEndDepth,rampSlope,carStallNumber,carTrailerStallNumber,boardingDock,restroomType,fishCleanStation,potableWater,marinePumpout,utlityCompany,utilityType,light,comments,ownershipSite,ownershipName,ownershipMgrPhone,authorityLevel,authorityName,authorityMgrPhone,lat,long,county,municipality,townNumber,rangeNumber,rangeDirection,sectionNo,lastUpdate,
2329600,Alder Lake,Alder Lake Access,CARRY-IN,Unimproved,Alder Park Road,No,0,No,Lt3,0,5-Jan,0,No,None,No,No,No,No,NONE,No,"Unimproved,sand launch.",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355 Ext. 119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355 Ext. 119,46.09258325,-89.82489319,Vilas,TOWN OF MANITOWISH WATERS,42,5,E,25,1/27/2017,
2332400,Allequash Lake,Allequash Lake Access,RAMP,Concrete Plank,Allequash Lake Road,No,2,No,Gr3,8,15-Nov,15-Nov,Yes,None,No,No,No,No,NONE,No,"Located off Hwy M on Allequash Lake Road. The approaches, to the boarding docks, are not ADA accessible (April/2015). Trim up to power load.",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,46.03405979,-89.63027429,Vilas,TOWN OF BOULDER JUNCTION,41,7,E,16,3/23/2017,
2332700,Allequash Springs,Allequash Springs Access,CARRY-IN,Unimproved,Starette Road,No,1,No,Lt3,0,0,0,No,None,No,No,No,No,NONE,No,"It is approximately an 1,800' carry/cart-in from the gate.",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,46.03428469,-89.58024729,Vilas,TOWN OF PLUM LAKE,41,7,E,14,5/30/2017,
967900,Alma Lake,Alma Lake Ramp,RAMP,Gravel,Waters Place Road,No,1,No,Lt3,14,5-Jan,5-Jan,No,None,No,No,No,No,NONE,No,"Signage at the launch indicates ""slow now wake at all times"". Blacktop to gravel launch.",TOWNSHIP,Town of Saint Germain,715-542-3813,TOWNSHIP,Town of Saint Germain,715-542-3813,45.91041835,-89.42668736,Vilas,TOWN OF SAINT GERMAIN,40,8,E,36,3/22/2017,
2953800,Annabelle Lake,Annabelle Lake Access,RAMP,Concrete Plank,Annabelle Landing Road,No,1,No,Lt3,15,5-Jan,5-Jan,No,None,No,No,No,No,NONE,No,Narrow corridor for backing. Blacktop to concrete plank launch.,COUNTY,"Forestry, Land & Recreation Dept.",(715) 479-5160,COUNTY,"Forestry, Land & Recreation Dept.",(715) 479-5160,46.22065354,-89.67966207,Vilas,TOWN OF PRESQUE ISLE,43,7,E,7,2/2/2017,
1832200,Anne Lake,Anne Lake Access,CARRY-IN,Unimproved,Big Lake Road,No,0,No,Lt3,0,5-Jan,0,No,None,No,No,No,No,NONE,No,"Carry-in site. Improved, gravel, access trail with wooden, erosion control structures. Sand, lake launch.",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355 Ext. 119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355 Ext. 119,46.17168312,-89.7859022,Vilas,TOWN OF PRESQUE ISLE,43,6,E,30,2/2/2017,
968800,Anvil Lake,Anvil Lake Access,RAMP,Concrete Panels,Off of S. Anvil Lake Road,No,1,No,Gr3,10,10-Jun,10-Jun,Yes,Vault,No,No,No,No,NONE,No,"Restroom is accessible and there is one designated parking stall. The route of travel, to the boarding dock, is not ADA accessible (July/2009). Concrete panels to sand launch. There is a vehicle admission fee required.",FEDERAL,US Forest Service,715-479-2827,FEDERAL,US Forest Service,715-479-2827,45.93642605,-89.0632489,Vilas,TOWN OF WASHINGTON,40,11,E,24,3/27/2017,
2269400,Apeekwa Lake,Apeekwa Lake Access,RAMP,Gravel,Island Club Road,No,1,No,Gr3,4,5-Jan,5-Jan,No,None,No,No,No,No,NONE,No,Located just off Island Club Lake. Rough parking area in July/2013. Entrance road is paved to gravel. Site is located within the road right of way and users would need to back off of Island Club Road to launch.,TOWNSHIP,Town of Lac Du Flambeay,715-588-3358,TOWNSHIP,Town of Lac Du Flambeau,715-588-3358,45.96091462,-90.03497297,Vilas,TOWN OF LAC DU FLAMBEAU,40,4,E,7,2/6/2017,
1541500,Arrowhead Lake,Arrowhead Lake Access,RAMP,Paved,S. Old Hwy 51 Road,No,1,No,Lt3,6,10-Jun,5-Jan,No,None,No,No,No,No,NONE,No,Town of Arbor Vitae landing. Blacktop to lake bottom launch.,TOWNSHIP,Town of Arbor Vitae,715-356-3120,TOWNSHIP,Town of Arbor Vitae,715-356-3120,45.90344016,-89.68586469,Vilas,TOWN OF ARBOR VITAE,40,6,E,36,3/23/2017,
1592700,Aurora Lake,Aurora Lake Ramp,RAMP,Gravel,Aurora Lake Road,No,1,No,Lt3,4,1,1,No,None,No,No,No,No,NONE,No,"One lane entrance/exit road with a turnout, for backing in, before the launch site. Gravel to muck launch. Very shallow landing. Limited parking. No Camping.",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,46.02132237,-89.54006833,Vilas,TOWN OF PLUM LAKE,41,8,E,19,3/24/2017,
1626400,Baker Lake,Baker Lake Access,RAMP,Concrete Plank,Baker Lake Road,Yes,1,No,Gr3,3,5-Jan,5-Jan,Yes,None,No,No,No,No,NONE,No,"Located off Baker Lake Road, Off Hwy S. Roadside parking. Loop road launch. Concrete plank to lake bottom launch. The boarding dock is designed ADA accessible but is accessed by a larger stone approach which may be problematic (April/2015).",STATE(DNR),,,STATE(DNR),,,46.06658467,-89.34676664,Vilas,TOWN OF CONOVER,41,9,E,3,2/24/2017,
2340700,Ballard Lake,Ballard Lake Ramp,RAMP,Concrete Plank,Camp No. 2 Road,No,1,No,Gr3,7,15-Nov,15-Nov,Yes,None,No,No,No,No,NONE,No,"There is a shared parking area between Ballard and Irving Lakes, on the east side of Camp No. 2 Road, at Irving Lake. The transition slope, to the boarding dock, exceeds the maximum allowable for ADA accessibility purposes (July/2015). No power loading.",STATE(DNR),Recreation Team Leader,(715) 385-3355 Ext. 119,STATE(DNR),Recreation Team Leader,(715) 385-3355 Ext. 119,46.06222326,-89.48539778,Vilas,TOWN OF PLUM LAKE,41,8,E,3,2/2/2017,
1545600,Big Arbor Vitae Lake,Big Arbor Vitae Lake Boat Launch - South,RAMP,Concrete Plank,Hwy 70,No,1,No,Gr3,11,10-Jun,10-Jun,Yes,None,No,No,No,No,NONE,No,There is a loop road at the launch site. Blacktop to concrete planks to lake bottom launch. The slope to the boarding dock exceeds the maximum allowable for ADA accessibility purposes. No power loading. No camping or overnight parking.,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,45.9185061,-89.63670736,Vilas,TOWN OF ARBOR VITAE,40,7,E,29,3/22/2017,
1545600,Big Arbor Vitae Lake,Big Arbor Vitae Lake Boat Launch - North,RAMP,Concrete Panels,Off of Buckhorn Road,No,1,No,Lt3,8,10-Jun,10-Jun,Yes,Vault,No,No,No,No,NONE,No,"Blacktop to concrete panels to lake bottom launch. The route of travel, to the boarding dock, is not ADA accessible (April/2016). Picnic area, with grills, also available.",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,45.94356348,-89.65760725,Vilas,TOWN OF ARBOR VITAE,40,7,E,18,3/22/2017,
1835200,Big Gibson Lake,Big Gibson Lake Ramp,RAMP,Concrete Plank,Big Gibson Lake Road,No,1,No,Lt3,6,5-Jan,5-Jan,No,None,No,No,No,No,NONE,No,"Rough, one lane, two rut, entrance/exit road. There is a loop road at the launch site and a turnout, for backing in, prior to The launch. Blacktop to concrete planks to lake bottom launch. No camping or overnight parking.",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,46.13934718,-89.5477084,Vilas,TOWN OF LAND O LAKES,42,8,E,7,6/6/2017,
2334700,Big Lake,Big Lake - Hwy K Access,RAMP,Concrete Panels,Hwy K,No,1,No,Gr3,7,15-Nov,15-Nov,Yes,None,No,No,No,No,NONE,No,"There is a one way, loop road at the launch site. Blacktop to concrete panels launch. The slope, on the transition plate, exceeds the maximum allowable for ADA accessibility purposes (May/2017). There are three vehicle stall (one accessible) and seven tr",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,46.14466743,-89.77420653,Vilas,TOWN OF BOULDER JUNCTION,42,6,E,5,5/30/2017,
2963800,Big Lake,Big Lake Ramp,RAMP,Gravel,Big Lake Landing Road,No,1,No,Gr3,3,15-Nov,10-Jun,Yes,None,No,No,No,No,,No,"Located at the end of Big Lake Landing Road, off Palmer Lake/Big Lake Road. Rustic boarding dock (September/2012).",TOWNSHIP,Town of Land O Lakes,715-547-3255,TOWNSHIP,Town of Land O Lakes,715-547-3255,46.20333596,-89.46091662,Vilas,TOWN OF LAND O LAKES,43,8,E,14,2/3/2017,
2334700,Big Lake,Big Lake Campground Access,RAMP,Concrete Plank,Off of Hwy P,No,1,No,Lt3,4,5-Jan,5-Jan,Yes,None,No,No,No,No,NONE,No,No fireworks allowed for family campers at Big Lake Campground. Potable water and vault toilets in connected campground. State Park & Forest vehicle admission sticker required. Concrete plank to lake bottom launch. Trim to power load. The transition to t,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,46.16224119,-89.78619424,Vilas,TOWN OF PRESQUE ISLE,43,6,E,31,2/2/2017,
1835300,Big Muskellunge Lake,Big Muskellunge Lake 1,RAMP,Gravel,Off of Big Muskellunge Lake Road,No,1,No,Lt3,5,5-Jan,5-Jan,No,None,No,No,No,No,NONE,No,"Wide, gravel to sand launch area. Parking is along the shoulder of Big Muskellunge Lake Road.",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,46.02599446,-89.60393168,Vilas,TOWN OF PLUM LAKE,41,7,E,15,3/24/2017,
1835300,Big Muskellunge Lake,Big Muskellunge Campground Ramp,RAMP,Concrete Plank,,No,1,No,Lt3,7,10-Jun,5-Jan,No,None,No,No,No,No,NONE,No,"ADA accessible flush toilets and potable water, in nearby shower building, are open from Memorial Day to Labor Day. Blacktop to concrete planks to lake bottom launch.",STATE(DNR),NHAL Rec.  Team Leader,(715) 385-3355 Ext. 119,STATE(DNR),NHAL Rec. Team Leader,(715) 385-3355 Ext. 119,46.00578693,-89.61348317,Vilas,TOWN OF PLUM LAKE,41,7,E,27,3/24/2017,
1835300,Big Muskellunge Lake,Big Muskellunge Lake Boat Ramp 2,RAMP,Concrete Plank,Big Muskellunge Boat Landing,No,1,No,Gr3,13,15-Nov,10-Jun,Yes,None,No,No,No,No,NONE,No,"Blacktop to concrete planks to metal grate launch. The route of travel, and transition, to the boarding dock is not ADA accessible (August/2016).",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,46.00842215,-89.62939079,Vilas,TOWN OF BOULDER JUNCTION,41,7,E,28,3/24/2017,
1629500,Big Portage Lake,Big Portage Lake Access,RAMP,Concrete,Boat Landing Road,No,1,No,Gr3,9,10-Jun,10-Jun,Yes,None,No,No,No,No,NONE,No,"Located at the end of Boat Landing Road, off Big Portage Lake Road. Concrete to boulder launch ramp. The transition to the boarding dock is not ADA accessible (September/2012).",TOWNSHIP,Town of Land O Lakes,715-547-3255,TOWNSHIP,Town of Land O Lakes,715-547-3255,46.11618817,-89.28433309,Vilas,TOWN OF LAND O LAKES,42,10,E,18,2/3/2017,
1591100,Big Saint Germain Lake,Big Saint Germain Lake Boat Ramp,RAMP,Concrete Panels,Big St. Germain Drive,Yes,1,No,Gr3,10,5-Jan,21-25,Yes,Portable,No,No,No,No,NONE,No,"There is a turnout, prior to the launch, for backing in. The boarding dock, and the route of travel to it, is ADA accessible. There are 10 vehicle/trailer stalls at the launch with one being designated as accessible. There is additional parking, across f",STATE(DNR),Program Supervisor,(715) 358-9221,STATE(DNR),Program Supervisor,(715) 358-9221,45.94374908,-89.5088892,Vilas,TOWN OF SAINT GERMAIN,40,8,E,17,5/26/2017,
1602600,Big Sand Lake,Big Sand Lake Boat Launch,RAMP,Concrete,Big Sand Lake Boat Landing Road,Yes,1,No,Gr3,7,5-Jan,Gr25,Yes,Portable,No,No,No,No,NONE,No,"Designated accessible parking. ADA Accessible boarding dock is accessed by an accessible, switchback trail.",STATE(DNR),Program Supervisor,(715) 358-9221,STATE(DNR),Program Supervisor,(715) 358-9221,46.07196901,-88.9747164,Vilas,TOWN OF PHELPS,42,12,E,34,2/3/2017,
2311100,Birch Lake,Birch Lake Access,RAMP,Concrete Plank,West Birch Lake Road,No,1,No,Gr3,8,5-Jan,5-Jan,Yes,None,No,No,No,No,NONE,No,"Located at the south end of the lake, off West Birch Lake Road, off Hwy W. The slope and transition to the boarding dock is not ADA accessible (August/2012).",TOWNSHIP,Town of Winchester,715-686-2123,TOWNSHIP,Town of Winchester,715-686-2123,46.21111698,-89.83675162,Vilas,TOWN OF WINCHESTER,43,5,E,14,1/26/2017,
972100,Bittersweet Lake,Bittersweet Lake Carry-In,CARRY-IN,Gravel,Off of Hwy 70,No,1,No,3ft.,10,5-Jan,0,No,None,No,No,No,No,NONE,No,"Rough, one lane, entrance/exit road. There is a turnout prior to the launch site. No motors. Parking for up to three vehicles. There are no designated (lined) parking stalls.",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,45.92742745,-89.60281471,Vilas,TOWN OF ARBOR VITAE,40,7,E,22,10/13/2017,
1630100,Black Oak Lake,Black Oak Lake Boat Launch,RAMP,Concrete Panels,County Highway B,No,1,No,Gr3,9,10-Jun,10-Jun,Yes,Vault,No,Yes,No,No,NONE,Yes,Located off Hwy B. Concrete panels to sand launch. Adjacent picnic tables and grill. The approach to the boarding dock is not ADA accessible (September/2012),COUNTY,"Forestry, Land & Recreation Dept.",(715) 479-5160,COUNTY,"Forestry, Land & Recreation Dept.",(715) 479-5160,46.15549697,-89.30694734,Vilas,TOWN OF LAND O LAKES,42,9,E,1,2/3/2017,
1835900,Blueberry Lake,Blueberry Lake Access,CARRY-IN,Unimproved,Off of Big Muskellunge Road,No,0,No,Gr3,0,5-Jan,0,Yes,None,No,No,No,No,NONE,No,"The site is accessed by a one lane, entrance/exit road, with a loop at the launch access. There is a permanent boarding dock, at this carry-in site, which is accessed by a boardwalk. No motors and no camping.",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,46.02494876,-89.586059,Vilas,TOWN OF PLUM LAKE,41,7,E,23,3/24/2017,
1619100,Boot Lake,Boot Lake Access,RAMP,Concrete,Boot Lake Road (6100),No,1,No,Gr3,8,5-Jan,5-Jan,Yes,None,No,No,No,No,NONE,No,"Located near the end of Boot Lake Road, off Hwy G. The transition, to the boarding dock. is not ADA accessible (July/2012).",COUNTY,"Forestry, Land & Recreation Dept.",(715) 479-5160,COUNTY,"Forestry, Land & Recreation Dept.",(715) 479-5160,45.96596139,-89.33095725,Vilas,TOWN OF CLOVERLAND,40,9,E,11,3/24/2017,
2338300,Boulder Lake,Boulder Lake Boat Ramp,RAMP,Concrete Panels,Airport Road,Yes,1,No,Gr3,8,10-Jun,10-Jun,Yes,None,No,No,No,No,NONE,No,"The boarding dock, and route of travel to it, is ADA accessible. There is designated accessible parking.",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,46.13225874,-89.65611048,Vilas,TOWN OF BOULDER JUNCTION,42,7,E,8,2/2/2017,
1541300,Brandy Lake,Brandy Lake Access,RAMP,Concrete Plank,Hwy 51,No,1,No,3,6,5-Jan,10-Jun,Yes,None,No,No,No,No,NONE,No,"Located off Hwy 51. No overnight camping. Follow arrows for vehicle/trailer flow. There is designated accessible parking. The route of travel to the boarding area is not ADA accessible (April 27,2016).",STATE(DNR),Program Supervisor,(715) 358-9221,STATE(DNR),Program Supervisor,(715) 358-9221,45.90434992,-89.69846914,Vilas,TOWN OF ARBOR VITAE,40,6,E,35,3/23/2017,
974300,Bug Lake,Bug Lake Carry-In,CARRY-IN,Unimproved,Witches Lake Road,No,0,No,Lt3,0,5-Jan,0,No,None,No,No,No,No,NONE,No,"Unimproved carry-in site. One lane, two rut, entrance/exit road, off of Witches Lake Road. Look for open water, from the access road, to access the main body of the lake.",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,45.95070909,-89.64949385,Vilas,TOWN OF ARBOR VITAE,40,7,E,17,5/26/2017,
1839100,Camp Lake,Camp Lake Carry-In,CARRY-IN,Unimproved,State Forest logging road,No,1,No,Lt3,0,5-Jan,0,No,None,No,No,No,No,NONE,No,"Sand, shore launch site located along a logging road. Electric motors only on the lake.",STATE(DNR),Recreation Team Leader,(715) 385-3355 Ext. 119,STATE(DNR),Recreation Team Leader,(715) 385-3355 Ext. 119,45.99858182,-89.73881155,Vilas,TOWN OF ARBOR VITAE,41,6,E,27,3/23/2017,
1839100,Camp Lake,Camp Lake Landing,CARRY-IN,Unimproved,State Forest logging road west of Hwy 51,No,0,No,Lt3,0,5-Jan,0,No,None,No,No,No,No,NONE,No,"Sand, shore launch site along a logging road.",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,46.00272076,-89.72909226,Vilas,TOWN OF ARBOR VITAE,41,6,E,27,3/23/2017,
1603700,Catfish Lake,Catfish Lake Boat Launch,RAMP,Concrete Panels,Braywood Lane,No,1,No,Gr3,12,5-Jan,5-Jan,Yes,None,No,No,No,No,NONE,No,"Located at the end of Braywood Lane, off of Catfish Lake Road. The transition, to the boarding dock, is not ADA accessible (September/2013). Blacktop to concrete panels launch. There is designated accessible parking on Braywood Lane.",TOWNSHIP,Town of Lincoln,715-479-7000,TOWNSHIP,Town of Lincoln,715-479-7000,45.90285043,-89.21255662,Vilas,TOWN OF LINCOLN,40,10,E,35,3/27/2017,
1628450,Clair Lake,Clair Lake Access,CARRY-IN,Unimproved,County Highway S,No,0,No,Lt3,0,0,0,No,None,No,No,No,No,NONE,No,Users of this carry-in site would have to park on the shoulder of Hwy S. Sand beach launch.,TOWNSHIP,Town of Land O Lakes,715-547-3255,TOWNSHIP,Town of Land O Lakes,715-547-3255,46.11625364,-89.3457462,Vilas,TOWN OF LAND O LAKES,42,9,E,14,2/2/2017,
2329000,Clear Lake,Clear Lake Access,RAMP,Paved,Clear Lake Road,No,1,No,Gr3,8,5-Jan,5-Jan,Yes,Portable,No,No,No,No,NONE,No,"The boarding dock is designed accessible, but the route of travel to it is not ADA accessible (September/2012).",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,46.139397,-89.82363424,Vilas,TOWN OF MANITOWISH WATERS,42,5,E,12,2/2/2017,
2329000,Clear Lake,Clear Lake Carry-in Access,CARRY-IN,Unimproved,Haskins Road,No,1,No,Lt3,0,5-Jan,0,No,None,No,No,No,No,NONE,No,Sand launch site. The launch site is gated to prevent boat trailer access.,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,46.15397565,-89.81585423,Vilas,TOWN OF MANITOWISH WATERS,42,5,E,1,2/2/2017,
2953500,Crab Lake,Crab Lake Access,RAMP,Gravel,Crab Landing Road,No,1,No,Gr3,11,10-Jun,10-Jun,No,None,No,No,No,No,NONE,No,"Located at the end of Crab Landing Road, off Town Dock Road and Crab Lake Road. Blacktop approach with a gravel ramp.",TOWNSHIP,Town of Presque Isle,715-686-2473,TOWNSHIP,Town of Presque Isle,715-686-2473,46.20331222,-89.72921183,Vilas,TOWN OF PRESQUE ISLE,43,6,E,15,2/2/2017,
1842400,Crystal Lake,Crystal Lake Ramp,RAMP,Other,Crystal Lake Road,No,1,No,Lt3,6,5-Jan,0,No,None,No,No,No,No,NONE,No,"State Park & Forest vehicle admission sticker required as the access site is located in the campground fee area. ADA accessible flush toilets and potable water are located in the connected family campground. Wide, sand launch area.",STATE(DNR),NHAL Rec. Team Leader,(715) 385-3355 Ext. 119,STATE(DNR),NHAL Rec. Team Leader,(715) 385-3355  Ext.119,45.99952813,-89.61054662,Vilas,TOWN OF PLUM LAKE,41,7,E,27,3/24/2017,
1843500,Day Lake,Day Lake Boat Ramp,RAMP,Gravel,Day Lake Landing Road,No,1,No,Lt3,8,5-Jan,5-Jan,Yes,None,No,No,No,No,NONE,No,"Located off Day Lake Landing Road, off Day Lake Road. Gravel to sand launch site. Electric motors only. The surface material to the boarding dock is not ADA accessible (April/2015).",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,46.06818298,-89.70745262,Vilas,TOWN OF BOULDER JUNCTION,41,6,E,2,1/27/2017,
2316600,Dead Pike Lake,Dead Pike Lake Access 1,RAMP,Gravel,Powell Road,No,1,No,Lt3,5,5-Jan,5-Jan,No,None,No,No,No,No,NONE,No,"Located on the east side of the lake, off of Powell Road. Four wheel drive vehicle recommended. Steep, one lane road to the launch. Gravel to lake bottom launch. Limited parking.",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,46.09853905,-89.88862974,Vilas,TOWN OF MANITOWISH WATERS,42,5,E,28,1/27/2017,
2759900,Deadwood Lake,Deadwood Lake Access,CARRY-IN,Unimproved,Big Lake Landing Road,No,0,No,Lt3,0,5-Jan,0,No,None,No,No,No,No,NONE,No,"Located just off Big Lake Landing Road, off Palmer Lake Road & Hwy B. Roadside parking.",STATE,Board of Commissioners of Public Lands,608-266-1370,STATE,Board of Commissioners of Public Lands,608-266-1370,46.20456544,-89.47426996,Vilas,TOWN OF LAND O LAKES,43,8,E,15,2/3/2017,
1601300,Deerskin Lake,Deerskin Lake Access 1,RAMP,Paved,Shangri-la Road,No,1,No,Gr3,4,5-Jan,5-Jan,No,None,No,No,No,No,NONE,No,"Located at the end of an unnamed road, off of Shangri-la Road. Paved to sand launch. There is no turnaround at the launch. Users would need to back 345', from Shangri-la Road, to the launch. No power loading.",TOWNSHIP,Town of Washington,715-479-1669,TOWNSHIP,Town of Washington,715-479-1669,45.97860756,-89.17015471,Vilas,TOWN OF WASHINGTON,40,11,E,6,3/27/2017,
1601300,Deerskin Lake,Deerskin Lake Access 2,RAMP,Paved,Boat Landing Road,No,1,No,Gr3,7,5-Jan,5-Jan,Yes,None,No,No,No,No,NONE,No,"Located at the end of Boat Landing Road, off of Deerskin Park Road. The transition, to the boarding dock, is not ADA accessible (September/2013). No power loading.",TOWNSHIP,Town of Washington,715-479-4641,TOWNSHIP,Town of Washington,715-479-4641,45.98125226,-89.16181327,Vilas,TOWN OF WASHINGTON,40,11,E,6,3/27/2017,
1844700,Diamond Lake,Diamond Lake Boat Ramp,RAMP,Concrete Plank,Hwy 51,No,1,No,Gr3,14,10-Jun,5-Jan,No,Vault,No,No,No,No,NONE,No,The launch is located off of Hwy 51 in a Department of Transportation Wayside. The launch is concrete planks to lake bottom.,STATE(DOT),Rhinelander Office,715-365-5780,STATE(DOT),Rhinelander Office,715-365-5780,46.04915544,-89.71461498,Vilas,TOWN OF ARBOR VITAE,41,6,E,11,1/27/2017,
1845500,Dog Lake,Dog Lake Access,CARRY-IN,Unimproved,Tower Road,No,1,No,Lt3,0,5-Jan,0,No,None,No,No,No,No,NONE,No,Steep access trail to the carry-in launch site.,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,46.14002297,-89.91435083,Vilas,TOWN OF MANITOWISH WATERS,42,5,E,6,1/26/2017,
