"","lakeID","June","July","August","hourOfDay.sc","hourOfDay.squ.sc","weekend1","covid1","covid","predictions.link","predictions"
"1","AQ",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,1.73271317517009,5.65597877067268
"2","AQ",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,1.87984825477561,6.552510474574
"3","AR",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,0.498648522600512,1.64649456617406
"4","AR",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,0.306069751560505,1.35807703123647
"5","BH",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,0.955219459117225,2.59924094745517
"6","BH",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,0.246208654390944,1.27916644939477
"7","BK",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,1.29848737881883,3.66375060736136
"8","BK",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,1.74332340528839,5.71630950246089
"9","CA",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-1.17632827099743,0.308409056698522
"10","CA",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,-1.44716052407748,0.235237291300601
"11","FD",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,0.834960252128902,2.30472243865597
"12","FD",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,0.790861773552228,2.20529607343644
"13","HT",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,0.765993863202364,2.15113124278769
"14","HT",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,0.174642613568831,1.1908205574453
"15","JS",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-0.058538584632187,0.943141848916255
"16","JS",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,-0.640644296126443,0.52695280099739
"17","LC",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,0.240737264395429,1.2721867426419
"18","LC",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,0.144758358254308,1.15576025659645
"19","LH",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-0.542625151310705,0.581220456260834
"20","LH",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,-0.994161002759336,0.370033771657433
"21","LR",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-0.357727359283341,0.69926369677514
"22","LR",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,-0.200530026295601,0.818296919231663
"23","MS",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,0.604695105068424,1.83069395447764
"24","MS",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,0.383550531198819,1.46748570438713
"25","OB",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,1.30112871515826,3.67344059660591
"26","OB",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,-0.10119572333355,0.903756129411995
"27","TO",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-1.14531523968907,0.318123616791778
"28","TO",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,-1.1533163642838,0.31558842581156
"29","WC",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,1.34819531355385,3.85047036495905
"30","WC",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,0.72601058857267,2.06681874832086
"31","WS",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,0.219865300117879,1.24590889550259
"32","WS",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,0.258687629964191,1.29522915085422
"33","BOT",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,0.793946111955544,2.21210845324816
"34","BOT",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,0.198149744642279,1.21914494057661
"35","BY",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-0.0960477022689216,0.908420681307498
"36","BY",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,0.252823314994483,1.28765574727188
"37","DS",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-0.0884694343439118,0.915331088003666
"38","DS",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,0.0658072688488092,1.06802085643959
"39","DY",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,0.453888876754051,1.57442303275598
"40","DY",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,1.3009549774713,3.67280243697129
"41","ER",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,0.295973344601214,1.34443431992149
"42","ER",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,-0.150695220028372,0.860109802956448
"43","ID",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-1.50701365266496,0.221570677932117
"44","ID",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,-1.77393497359399,0.169664050003651
"45","IV",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,1.57230774506521,4.81775352162871
"46","IV",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,2.12293960894092,8.355663805164
"47","LE",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-0.740105980220918,0.477063353562195
"48","LE",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,-0.556049306300422,0.57347019948468
"49","LL",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-3.05519179121181,0.0471136839132304
"50","LL",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,-2.87832070728151,0.0562291087276298
"51","LT",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,0.611225901596822,1.84268897006964
"52","LT",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,0.516223365191438,1.67568722579698
"53","LV",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,1.49461313196044,4.45761171172234
"54","LV",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,1.55035019805849,4.71312041923929
"55","NH",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-0.17439705470535,0.839963320049987
"56","NH",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,0.243717442232622,1.27598374043119
"57","PK",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,0.125380684496417,1.13357990723379
"58","PK",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,-0.272348614453676,0.761588713972298
"59","PN",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,0.653746475311202,1.92273081558104
"60","PN",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,0.371253776436619,1.44955088857246
"61","PT",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-0.723392521555146,0.48510373633988
"62","PT",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,0.288128057668278,1.33392811291025
"63","SA",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-0.150457711301593,0.860314110802127
"64","SA",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,0.458978292542725,1.58245635130606
"65","SE",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-0.950020204784617,0.386733209514359
"66","SE",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,-1.19213469715151,0.303572536465704
"67","SM",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-0.485616327546605,0.615317842536791
"68","SM",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,-0.0289772619087492,0.97143855287394
"69","SV",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-1.21698750210796,0.296120888153835
"70","SV",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,0.0849237066467323,1.08863400799107
"71","UG",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,1.61529185690743,5.02935556144874
"72","UG",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,1.23836127974091,3.4499553182962
"73","WB",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-2.55249656360064,0.0778869732884311
"74","WB",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,-1.91757230612873,0.146963311332169
"75","WN",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-1.40743717123938,0.244769783044274
"76","WN",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,-0.904674285793427,0.404673671603353
