"","lakeID","buildingDensity200m.sc","sizeHa.sc","prop_public","campgrounds","June","July","August","hourOfDay.sc","hourOfDay.squ.sc","weekend","adverse","covid","predictions"
"1","AQ",-1.15924042472506,1.03748547008537,1,1,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,2.33137214112033
"2","AQ",-1.15924042472506,1.03748547008537,1,1,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,4.0199845729434
"3","AR",2.86487356482042,-0.869285629921483,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.68202978786101
"4","AR",2.86487356482042,-0.869285629921483,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.744822318817238
"5","BH",0.161347641498896,1.65257292170048,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,1.11063623856191
"6","BH",0.161347641498896,1.65257292170048,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.736514791747223
"7","BK",0.101640819848274,2.00932364363725,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,1.61676757319612
"8","BK",0.101640819848274,2.00932364363725,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,2.89863194229094
"9","CA",-1.15924042472506,-1.22603635185825,1,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.110601415923119
"10","CA",-1.15924042472506,-1.22603635185825,1,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.15652986555053
"11","FD",0.478810236048762,0.606924253954789,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.974654505504082
"12","FD",0.478810236048762,0.606924253954789,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,1.18004319483858
"13","HT",-0.34464206885872,-0.383366543145543,0.212786626,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.91833181812914
"14","HT",-0.34464206885872,-0.383366543145543,0.212786626,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.644006468399754
"15","JS",1.54064004357931,-0.936945249599145,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.388941897285469
"16","JS",1.54064004357931,-0.936945249599145,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.290015720022994
"17","LC",-0.500609512757265,-0.512534907984717,0.232260814,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.536579928017966
"18","LC",-0.500609512757265,-0.512534907984717,0.232260814,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.597159234110945
"19","LH",0.347803383415394,-1.08456623798677,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.24068949769741
"20","LH",0.347803383415394,-1.08456623798677,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.189303734688682
"21","LR",0.883088161305357,-0.0881245663702887,0.121958081,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.301233036392532
"22","LR",0.883088161305357,-0.0881245663702887,0.121958081,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.431563433771714
"23","MS",0.789405224400312,0.305531402663384,0.052860258,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.774361188371038
"24","MS",0.789405224400312,0.305531402663384,0.052860258,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.799031398317377
"25","OB",-0.449416925826396,1.75713778847505,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,1.58903011927348
"26","OB",-0.449416925826396,1.75713778847505,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.547527418768001
"27","TO",0.66606946826895,-0.604798025726984,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.137167868673868
"28","TO",0.66606946826895,-0.604798025726984,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.159815043424759
"29","WC",-0.769013804777643,0.342436649760291,0.245108285,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,1.61614073327873
"30","WC",-0.769013804777643,0.342436649760291,0.245108285,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,1.12699163484468
"31","WS",-1.15924042472506,-1.13992410863213,1,1,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.482688194660995
"32","WS",-1.15924042472506,-1.13992410863213,1,1,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.821157326336314
"33","BOT",-0.0327913923654672,0.299380528147233,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.927131232516878
"34","BOT",-0.0327913923654672,0.299380528147233,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.656626112975606
"35","BY",1.60016977098111,-0.764720763146914,0.078710046,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.380724883272573
"36","BY",1.60016977098111,-0.764720763146914,0.078710046,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.669414544088825
"37","DS",0.228351526254485,0.3916436458895,0.124615855,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.396454797851407
"38","DS",0.228351526254485,0.3916436458895,0.124615855,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.571566447748341
"39","DY",-1.15924042472506,-0.783173386695367,1,1,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.646290805700039
"40","DY",-1.15924042472506,-0.783173386695367,1,1,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,2.12028634976157
"41","ER",-1.10336772036254,-0.783173386695367,0.228145946,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.566219785344717
"42","ER",-1.10336772036254,-0.783173386695367,0.228145946,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.443062477297589
"43","ID",-1.06597029184484,-0.967699622179901,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.100961016872063
"44","ID",-1.06597029184484,-0.967699622179901,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.0771033738410046
"45","IV",-1.09147185639424,1.11744683879533,0.192703908,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,2.09386048171128
"46","IV",-1.09147185639424,1.11744683879533,0.192703908,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,4.29845563741551
"47","LE",-1.15924042472506,-0.660155896372344,1,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.185237039501595
"48","LE",-1.15924042472506,-0.660155896372344,1,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.344457361534213
"49","LL",-0.065997186555467,-1.10916973605138,0.018969139,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.0289389673556408
"50","LL",-0.065997186555467,-1.10916973605138,0.018969139,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.034566315841129
"51","LT",1.12313377334803,1.85555178073347,0.10260055,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.789749706823832
"52","LT",1.12313377334803,1.85555178073347,0.10260055,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.963222455747005
"53","LV",-0.388725277295469,1.49265018428055,0.584511414,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,1.88395505235939
"54","LV",-0.388725277295469,1.49265018428055,0.584511414,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,2.64790196932028
"55","NH",-0.943979615107087,-1.2321872263744,0.231650632,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.362318110021126
"56","NH",-0.943979615107087,-1.2321872263744,0.231650632,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.602021359151286
"57","PK",0.230954039785918,0.200966535888815,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.484400101604892
"58","PK",0.230954039785918,0.200966535888815,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.411157231484039
"59","PN",0.905514788933218,1.17895558395684,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.822118692572692
"60","PN",0.905514788933218,1.17895558395684,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.813010117120502
"61","PT",-1.1413767946685,-0.0143140721764751,0.928176908,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.202862789339855
"62","PT",-1.1413767946685,-0.0143140721764751,0.928176908,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.725235969674243
"63","SA",-0.164994376502677,-0.438724413790903,0.139635041,1,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.391542351774933
"64","SA",-0.164994376502677,-0.438724413790903,0.139635041,1,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.879702696630945
"65","SE",-0.64613030871308,-1.17682935572904,0.553371027,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.152166866235925
"66","SE",-0.64613030871308,-1.17682935572904,0.553371027,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.169776229979993
"67","SM",0.862872743827946,1.75713778847505,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.291145785852359
"68","SM",0.862872743827946,1.75713778847505,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.546647451234539
"69","SV",1.82982576566901,-1.10916973605138,0.107383749,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.0986007983246095
"70","SV",1.82982576566901,-1.10916973605138,0.107383749,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.206106000646247
"71","UG",-0.286123304925884,0.766846991374719,0.480401761,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,2.09863867274461
"72","UG",-0.286123304925884,0.766846991374719,0.480401761,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,1.93794445368086
"73","WB",-0.817915479098739,-0.764720763146914,0.834155416,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.0361265931855971
"74","WB",-0.817915479098739,-0.764720763146914,0.834155416,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.0993174252308039
"75","WN",-1.01501006590373,-0.0696719428218355,0.880101941,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.101747572935753
"76","WN",-1.01501006590373,-0.0696719428218355,0.880101941,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.246382561661067
